"id";"link";"sectionId"
"artanddesign/2020/apr/06/andy-warhol-take-a-virtual-tour-around-the-tate-modern-exhibition";"https://www.theguardian.com/artanddesign/2020/apr/06/andy-warhol-take-a-virtual-tour-around-the-tate-modern-exhibition";"artanddesign"
"artanddesign/2020/apr/06/bathtime-and-black-paint-tracey-emin-posts-lockdown-diary";"https://www.theguardian.com/artanddesign/2020/apr/06/bathtime-and-black-paint-tracey-emin-posts-lockdown-diary";"artanddesign"
"artanddesign/2020/apr/06/how-i-became-the-duke-of-urbino-getty-museum-recreate-masterpiece";"https://www.theguardian.com/artanddesign/2020/apr/06/how-i-became-the-duke-of-urbino-getty-museum-recreate-masterpiece";"artanddesign"
"artanddesign/2020/apr/10/peter-saul-donald-trump-in-florida";"https://www.theguardian.com/artanddesign/2020/apr/10/peter-saul-donald-trump-in-florida";"artanddesign"
"artanddesign/2020/apr/10/virtual-design-festival-coronavirus-lockdown";"https://www.theguardian.com/artanddesign/2020/apr/10/virtual-design-festival-coronavirus-lockdown";"artanddesign"
"artanddesign/2020/apr/11/mick-rock-releases-unseen-photographs-of-1970s-rock-royalty-to-support-nhs";"https://www.theguardian.com/artanddesign/2020/apr/11/mick-rock-releases-unseen-photographs-of-1970s-rock-royalty-to-support-nhs";"artanddesign"
"artanddesign/2020/apr/11/post-modern-why-millennials-have-fallen-in-love-with-stamp-collecting";"https://www.theguardian.com/artanddesign/2020/apr/11/post-modern-why-millennials-have-fallen-in-love-with-stamp-collecting";"artanddesign"
"artanddesign/2020/apr/11/you-can-learn-ceramics-fairly-quickly-the-pottery-studio-breaking-the-mould";"https://www.theguardian.com/artanddesign/2020/apr/11/you-can-learn-ceramics-fairly-quickly-the-pottery-studio-breaking-the-mould";"artanddesign"
"artanddesign/2020/apr/15/jeannette-montgomery-barron-warhol-artist-portraits";"https://www.theguardian.com/artanddesign/2020/apr/15/jeannette-montgomery-barron-warhol-artist-portraits";"artanddesign"
"artanddesign/2020/apr/15/yayoi-kusamas-message-to-covid-19-disappear-from-this-earth";"https://www.theguardian.com/artanddesign/2020/apr/15/yayoi-kusamas-message-to-covid-19-disappear-from-this-earth";"artanddesign"
